# x |x| K_N count nontrivial_mass_2^-64 min_program
00000111000000010 17 17 177012 90448873914368 00000100011000000010110
00000001110000010 17 17 177198 89516698238976 00000001000110000010110
00000000011100010 17 17 175360 88687400452096 00000000010001100010110
00000000011000110 17 17 163154 85609200746496 00000000010001100011010
00000110000000110 17 17 160102 84864124583936 00000100011000000011010
00000001100000110 17 17 160700 84122470973440 00000001000110000011010
00011000000000110 17 17 153471 83172276568064 00010001100000000011010
00000000000011110 17 17 138313 80002137718784 00000000000001001011110
00000000000111010 17 17 150012 79492345233408 00000000000100100111010
00000000000110110 17 17 145902 78789581209600 00000000000100100110110
00000001110001110 17 17 125386 78661789155328 0000000100011000110110
00011000000110110 17 17 110020 77624873320448 010001101000000110110
00000110011000110 17 17 120993 76713316843520 00000100011001100011010
00000101100011010 17 17 120628 76624917692416 00000100010110001101010
00011000011100010 17 17 118061 76413507993600 00010001100001110001010
00000101101000110 17 17 113744 74225104715776 00000100010110100011010
00000111000011010 17 17 117266 74155294720000 00000100011000011010110
00000101110001010 17 17 119470 73527659069440 00000100100101110001010
00000110011100010 17 17 119181 73499557232640 00000100100110011100010
00010110001100010 17 17 104371 73224545107968 00010001011000110001010
000001011010011010 18 18 122790 73092776853504 00000100011010011010
00011000000011110 17 17 100925 72866821308416 00010001100000001111010
00000110000111010 17 17 106065 70272157745152 00000100011000011101010
00000101100010110 17 17 113531 69770032447488 00000100100101100010110
00000111001100010 17 17 113423 69760469434368 00000100100111001100010
00010110001000110 17 17 100046 69347464708096 00010001011000100011010
00000110000011110 17 17 97615 68771771318272 00000100100110000011110
00011000011000110 17 17 101579 68456191885312 00010001100001100011010
00010110100000110 17 17 90244 68076557041664 00010001011010000011010
00000001100011110 17 17 99245 67988560543744 00000001001001100011110
00000001110011010 17 17 104738 67230280712192 00000001001001110011010
00000001011010110 17 17 104325 67108914331648 00000001001001011010110
00000101101100010 17 17 104510 66992379789312 00000100011000100110110
00000101110100010 17 17 104476 66989812875264 00000100011000100111010
00000000011011110 17 17 98671 66724598644736 00000000010010011011110
00000110000110110 17 17 101198 66711898292224 00000100011000011011010
00000000011111010 17 17 98198 66616805031936 00000000010010011111010
00011001100000110 17 17 91387 66251783143424 00010001100110000011010
00010110000011010 17 17 91393 66218128048128 00010001011000001101010
00000001011101010 17 17 99077 63542883516416 00000001001001011101010
00000001100110110 17 17 98479 63405343899648 00000001001001100110110
00011000000111010 17 17 94477 63383919394816 00010001100000011101010
00000001100111010 17 17 98218 63380563951616 00000001001001100111010
00000001011011010 17 17 98079 63350046195712 00000001001001011011010
000000000000000010 18 18 188292 62999150723072 000000000000000001001010
00000000011101110 17 17 91720 61810082316288 0000000100001100110110
00000000011110110 17 17 91564 61790285201408 0000000100001100111010
00000111000001110 17 17 88042 61588237189120 00000100100111000001110
00000001111000110 17 17 88628 60688374431744 00000001001001111000110
000001011000100010 18 18 135030 57337662406656 00000100010111010100010
000000000110000010 18 18 150554 55397293490176 000000000100011000001010
000000011000000010 18 18 148718 55201369161728 000000010001100000001010
000000000001100010 18 18 149181 55134595842048 000000000001000110001010
000000000000001110 18 18 136238 54553332416512 000000000000000100101110
000001100000000010 18 18 144343 54535951220736 000001000110000000001010
000000000111101110 18 18 89815 54084878991360 0000000001000110101110
000000000000011010 18 18 141819 53939588300800 000000000000010001101010
000110000000000010 18 18 136828 53132067340288 000100011000000000001010
000101100000100010 18 18 110361 49812409942016 000100010110000010001010
000101100010000010 18 18 108249 49364391165952 000100010110001000001010
000001011101100010 18 18 86711 49062552272896 00000100010110100010110
000000010110100010 18 18 112572 48574368841728 000000010001011010001010
000000000110011010 18 18 111866 48466541674496 000000000100011001101010
000000000101101010 18 18 111747 48465887363072 000000000100010110101010
000000010110001010 18 18 114771 48297444114432 000000010001011000101010
000000011001100010 18 18 114435 48188559982592 000000010001100110001010
000001011010000010 18 18 106676 47616423362560 000001000101101000001010
000000000001110110 18 18 101127 47506482266112 00000000000100011010110
000001100110000010 18 18 109565 47476518158336 000001000110011000001010
000001011000001010 18 18 109361 47444909883392 000001000101100000101010
000001100001100010 18 18 110622 47085978124288 000001000110000110001010
000000011110000010 18 18 106212 46886513803264 000000010001100000101110
000001010110101010 18 18 93268 46516542636032 000001000101011010101010
000001100110011010 18 18 92797 46466261319680 000001000110011001101010
000001100101101010 18 18 92497 46368047497216 000001000110010110101010
000001011001101010 18 18 92065 46321054515200 000001000101100110101010
000000011000011010 18 18 105905 46076694364160 000000010001100001101010
000001100000011010 18 18 103436 45836612403200 000001000110000001101010
000110000001100010 18 18 103087 45617518739456 000100011000000110001010
000101101000000010 18 18 95224 45467748532224 000100010110100000001010
000110000110000010 18 18 101716 45424782082048 000100011000011000001010
000000000111100010 18 18 101258 45405941268480 000000000100011000101110
000101100000001010 18 18 98324 45313901461504 000100010110000000101010
000110011000000010 18 18 97907 45215989628928 000100011001100000001010
000101100011000110 18 18 77993 45011156598784 0001000101110101000110
000001100001110110 18 18 79970 44740942757888 00000110000100011010110
000110000000011010 18 18 97426 44654439432192 000100011000000001101010
000001110011100010 18 18 82279 43762663292928 00000100011001100010110
000001011100010110 18 18 81924 43675690205184 00000100010110001010110
000000000000111110 18 18 84872 43276140806144 000000000000010010111110
000101011010100010 18 18 76299 42964084588544 000100010101101010001010
000000011000001110 18 18 93376 42953363947520 000000010001100000111010
000101100110100010 18 18 76046 42931486457856 000100010110011010001010
000001110000000110 18 18 93562 42651927707648 000001000110000000110110
000101011010001010 18 18 75206 41847023992832 000100010101101000101010
000110010110100010 18 18 75075 41829844123648 000100011001011010001010
