# x |x| K_N count nontrivial_mass_2^-64 min_program
00010110010110101010 20 20 36752 14062142357504 00010001011001011010101010
00011001011001101010 20 20 36718 14059122458624 00010001100101100110101010
00010101100110101010 20 20 36594 14041657376768 00010001010110011010101010
00000001100001100010 20 20 49582 13970018664448 00000001000110000110001010
00010101101000100010 20 20 44450 13948107620352 00010001010110100010001010
00000000000001110110 20 20 45405 13917455646720 0000000000000100011010110
00000101100000001010 20 20 47623 13916415459328 00000100010110000000101010
00000101101000000010 20 20 47120 13901718618112 00000100010110100000001010
00000110011000000010 20 20 47536 13886954668032 00000100011001100000001010
00010110000000100010 20 20 47357 13886568792064 00010001011000000010001010
00000110000001100010 20 20 48301 13855648382976 00000100011000000110001010
00000110000110000010 20 20 48388 13840397893632 00000100011000011000001010
00000001111000000010 20 20 46439 13749280833536 00000001000110000000101110
00010110001000000010 20 20 46591 13736060387328 00010001011000100000001010
00000001010110101010 20 20 42368 13692590620672 00000001000101011010101010
00000001100110011010 20 20 42201 13682222301184 00000001000110011001101010
00000001100101101010 20 20 42140 13657626902528 00000001000110010110101010
00000001011001101010 20 20 41962 13646050623488 00000001000101100110101010
00000001100000011010 20 20 46429 13619106414592 00000001000110000001101010
00000000011000011010 20 20 46539 13583052177408 00000000010001100001101010
00011000000110000010 20 20 46057 13554614796288 00010001100000011000001010
00000110000000011010 20 20 45528 13509500862464 00000100011000000001101010
00011000000001100010 20 20 45658 13460159070208 00010001100000000110001010
00000101100011000110 20 20 38956 13445630001152 000001000101110101000110
00000000011110000010 20 20 44938 13393066983424 00000000010001100000101110
00010110100000000010 20 20 43529 13387966709760 00010001011010000000001010
00011000011000000010 20 20 44926 13377782939648 00010001100001100000001010
00011001100000000010 20 20 43577 13317921832960 00010001100110000000001010
00010110000000001010 20 20 43501 13312133693440 00010001011000000000101010
00000000000111100010 20 20 44187 13265174265856 00000000000100011000101110
00000101011010100010 20 20 41143 13234773950464 00000100010101101010001010
00000101100110100010 20 20 41030 13227610079232 00000100010110011010001010
00011000000000011010 20 20 43439 13198937817088 00010001100000000001101010
00000001100001110110 20 20 38915 13168084516864 0000000110000100011010110
00010110011000100010 20 20 41300 13128087633920 00010001011001100010001010
00010101100010100010 20 20 41222 13121343193088 00010001010110001010001010
00011001100001110110 20 20 33486 13071061876736 0001100110000100011010110
00010110000111011010 20 20 33452 13069132496896 0001011000010001101011010
00000101011010001010 20 20 40966 12991604981760 00000100010101101000101010
00000110010110100010 20 20 40807 12972143411200 00000100011001011010001010
00000111001110000010 20 20 39102 12960349028352 0000010001100110000010110
00000101110000010110 20 20 38954 12948135215104 0000010001011000001010110
00000001110011100010 20 20 39411 12864937000960 0000000100011001100010110
00000001011100010110 20 20 39074 12828765323264 0000000100010110001010110
00000111000000000110 20 20 41929 12745281896448 00000100011000000000110110
00000101100110001010 20 20 40222 12729024774144 00000100010110011000101010
00000000011000001110 20 20 41941 12725870657536 00000000010001100000111010
00000110011001100010 20 20 40204 12703087198208 00000100011001100110001010
00000110010110001010 20 20 39956 12686544863232 00000100011001011000101010
00000101011000101010 20 20 39874 12680639283200 00000100010101100010101010
00000000000000111110 20 20 39581 12675455123456 00000000000000010010111110
00011000000000001110 20 20 39796 12581922144256 00010001100000000000111010
00000001110000000110 20 20 41068 12563752419328 00000001000110000000110110
00010101101010000010 20 20 36446 12540180430848 00010001010110101000001010
00010110011010000010 20 20 36322 12532177698816 00010001011001101000001010
00000000011100000110 20 20 40072 12342897147904 00000000010001100000110110
00000101101000011010 20 20 37572 12304074670080 00000100010110100001101010
00010101101000001010 20 20 36210 12294293553152 00010001010110100000101010
00011001011010000010 20 20 36149 12290418016256 00010001100101101000001010
00000101100010011010 20 20 37856 12279999365120 00000100010110001001101010
00000101101001100010 20 20 37852 12279764484096 00000100010110100110001010
00000001100000001110 20 20 39363 12259732488192 00000001000110000000111010
00011000000111100010 20 20 36741 12178849529856 00010001100000011110001010
00000110000110011010 20 20 37160 12134373130240 00000100011000011001101010
00000110000101101010 20 20 37157 12134037585920 00000100011000010110101010
00011000000000111110 20 20 34583 12099090644992 00010001100000000011111010
00011001100110000010 20 20 35741 12050336055296 00010001100110011000001010
00000001110000011110 20 20 34755 12042232659968 0000000100011000001110110
00011001011000001010 20 20 35592 12041075032064 00010001100101100000101010
00010110011000001010 20 20 35562 12039397310464 00010001011001100000101010
00010101100000101010 20 20 35553 12037937692672 00010001010110000010101010
00000110000000001110 20 20 38398 12018459344896 00000100011000000000111010
00000000010111011010 20 20 34213 11992001675264 0000000001010001101011010
00000000011001110110 20 20 34095 11982774206464 0000000001100100011010110
00000110000001110110 20 20 34594 11975828439040 0000011000000100011010110
00011000000110011010 20 20 35428 11910581846016 00010001100000011001101010
00011000000101101010 20 20 35422 11910246301696 00010001100000010110101010
00011000010110100010 20 20 36284 11854243954688 00010001100001011010001010
00000000000001111010 20 20 37927 11852146802688 00000000000001001001111010
00011000000001110110 20 20 33216 11780424204288 0001100000000100011010110
00011000010110001010 20 20 36423 11750258769920 00010001100001011000101010
00000000000110001110 20 20 37112 11738682490880 00000000000100100110001110
00000001111000011010 20 20 35091 11736602116096 00000001000110000110101110
00000110011000011010 20 20 35693 11731602505728 00000100011001100001101010
00000110000111100010 20 20 35366 11724103090176 00000100100110000111100010
00000101100001101010 20 20 35551 11722274373632 00000100010110000110101010
00011000011001100010 20 20 36409 11717325094912 00010001100001100110001010
00000001100111100010 20 20 35677 11698920488960 00000001001001100111100010
00000001011110001010 20 20 35550 11690817093632 00000001001001011110001010
00010110100000011010 20 20 33919 11685549047808 00010001011010000001101010
00000110011000001110 20 20 34613 11685247057920 00000100011001100000111010
00000101100000111010 20 20 34303 11640401559552 00000100010110000011101010
00010110100001100010 20 20 34438 11604464762880 00010001011010000110001010
00010110000010011010 20 20 33444 11594448764928 00010001011000001001101010
00010110100110000010 20 20 33396 11590623559680 00010001011010011000001010
00000110000000111110 20 20 32435 11515209973760 00000100100110000000111110
00000000000001101110 20 20 36125 11508364869632 00000000000001001001101110
00011001100001100010 20 20 34790 11496939585536 00010001100110000110001010
00010110000110001010 20 20 34715 11491419881472 00010001011000011000101010
00011000011001110110 20 20 28381 11486520934400 0001100001100100011010110
00011000010111011010 20 20 28217 11476723040256 0001100001010001101011010
00000001100000111110 20 20 32191 11401879879680 00000001001001100000111110
00011001100000011010 20 20 32798 11325610655744 00010001100110000001101010
00010110000011100010 20 20 32446 11325442883584 00010001011000001110001010
00010110000001101010 20 20 32700 11318681665536 00010001011000000110101010
00010110001000011010 20 20 33213 11317322711040 00010001011000100001101010
00000000000111000110 20 20 35587 11286888841216 00000000000100100111000110
00010110000110100010 20 20 33111 11279792078848 00010001011000011010001010
00000101110110011010 20 20 27593 11254726918144 0000010100011010110011010
00011000011000011010 20 20 33508 11250415173632 00010001100001100001101010
00000000011000111110 20 20 31694 11231305924608 00000000010010011000111110
00000101101000001110 20 20 31961 11120492412928 00000100010110100000111010
00000000000110111110 20 20 31070 11034827948032 00000000000100100110111110
00000000000111111010 20 20 30774 11017027321856 00000000000100100111111010
00000110000001111010 20 20 31497 10871401086976 00000100011000000111101010
00011000011100000110 20 20 30557 10857912205312 00010001100001110000011010
00000111000011000110 20 20 31719 10831320317952 00000100011000011000110110
00000111000011100010 20 20 31911 10767264907264 00000100100111000011100010
00000001011000101110 20 20 32005 10726647267328 00000001001001011000101110
00000001111001100010 20 20 31989 10725808406528 00000001001001111001100010
00000110000110001110 20 20 30705 10616873943040 00000100011000011000111010
00010110001000001110 20 20 29763 10585601212416 00010001011000100000111010
00000101100010001110 20 20 31019 10585416663040 00000100100101100010001110
00000101110001000110 20 20 30905 10579662077952 00000100100101110001000110
00000001011101101110 20 20 24148 10533591842816 000001000011001011010110
00000001111001110110 20 20 24120 10531746349056 000001000011001110011010
00000101100011100010 20 20 30103 10474183720960 00000100011000100110001110
00011000011000001110 20 20 29463 10441904357376 00010001100001100000111010
00000110011001110110 20 20 25047 10402595340288 0000011001100100011010110
00000101011101101010 20 20 25010 10399541886976 0000010101000110101101010
00000001011011100010 20 20 30054 10352095920128 00000001000110001001101110
00000001011110100010 20 20 30038 10351089287168 00000001000110001001111010
00000110010111011010 20 20 24920 10349143130112 0000011001010001101011010
00000101100111011010 20 20 24861 10345485697024 0000010110010001101011010
00010110001100000110 20 20 27717 10340452532224 00010001011000110000011010
00000110000001101110 20 20 29466 10327164977152 00000100011000000110111010
00000101101001110110 20 20 25340 10317652295680 0000010110100100011010110
00010110100000001110 20 20 27121 10244151312384 00010001011010000000111010
00000101110000011010 20 20 28877 10227306987520 00000100100101110000011010
00000110011100000110 20 20 28873 10226518458368 00000100100110011100000110
00000001011010001110 20 20 28423 10187763089408 00000001001001011010001110
00000000011110011010 20 20 28461 10163738116096 00000000010010011110011010
00000000010110101110 20 20 28457 10163486457856 00000000010010010110101110
00000111000000111010 20 20 28906 10121878962176 00000100011000000111010110
00000111000000011110 20 20 27754 10110235574272 00000100100111000000011110
00000111000000110110 20 20 28608 10085002641408 00000100011000000110110110
00000000011100111010 20 20 28281 10050592571392 00000000010001100110110110
00000001110011000110 20 20 28351 10049837596672 00000001001001110011000110
00000000011100110110 20 20 28189 10042405289984 00000000010001100111010110
00000001011000110110 20 20 28152 10025359638528 00000001001001011000110110
00000000010111010110 20 20 28068 10024235565056 00000000010001011011010110
00000000010110110110 20 20 28096 10023312818176 00000000010001011101010110
00000101110001100010 20 20 28462 10005646409728 00000100011000100111000110
00011001100000001110 20 20 26700 9992878948352 00010001100110000000111010
00010110000000111010 20 20 26607 9985933180928 00010001011000000011101010
00000001100110001110 20 20 27474 9932816515072 00000001001001100110001110
00000001011000111010 20 20 27340 9925585534976 00000001001001011000111010
00000000011100011110 20 20 26639 9883088846848 0000000100001100110001110
00000001011011101110 20 20 23156 9872351428608 0000000100010111010101110
00000001111001111010 20 20 23012 9860489936896 0000000100011001101101110
00000001011110101110 20 20 22930 9851077918720 0000000100010110110101110
00000001111001101110 20 20 22866 9843930824704 0000000100011001110101110
00011000000001101110 20 20 27565 9827958915072 00010001100000000110111010
00010110000011000110 20 20 26075 9809537531904 00010001011000001100011010
00000000011111000110 20 20 26692 9806031093760 00000000010010011111000110
00000000000111110110 20 20 26474 9794085715968 0000000001000011001111010
00011000000110001110 20 20 26665 9776503193600 00010001100000011000111010
00000110000111000110 20 20 27150 9773449740288 00000100011000011100011010
00000001100001101110 20 20 27595 9761990901760 00000001001001100001101110
00000101100000110110 20 20 27269 9758350245888 00000100100101100000110110
00000111001100000110 20 20 27264 9757997924352 00000100100111001100000110
00000000010111101010 20 20 26840 9703320977408 00000000010010010111101010
00000001100001111010 20 20 27094 9699344777216 00000001001001100001111010
00000000011001101110 20 20 26854 9694831706112 00000000010010011001101110
00000000011001111010 20 20 26825 9693170761728 00000000010010011001111010
00000000010110111010 20 20 26694 9684949925888 00000000010010010110111010
00000001110011101110 20 20 21628 9595762245632 000001000011001100110110
00000001011110110110 20 20 21626 9595560919040 000001000011001011101010
00000001110011110110 20 20 21555 9590259318784 000001000011001100111010
00000001011101110110 20 20 21549 9590242541568 000001000011001011011010
00011000000001111010 20 20 25987 9579555454976 00010001100000000111101010
00000001111000001110 20 20 25814 9526203908096 00000001001001111000001110
00000001011100011010 20 20 26016 9490854313984 00000001001001011100011010
00000001100111000110 20 20 25976 9487633088512 00000001001001100111000110
00000000000111011110 20 20 25299 9476241358848 0000000001000011001101110
00000101101100000110 20 20 25800 9468137963520 00000100011000001100110110
00000101110100000110 20 20 25769 9466527350784 00000100011000001100111010
00000000011110001110 20 20 25101 9418661953536 0000000100001100111000110
00000001110000111010 20 20 25690 9280619020288 00000001001001110000111010
00011000000111000110 20 20 24851 9276793815040 00010001100000011100011010
00000001011101000110 20 20 25186 9275283865600 00000001001001011101000110
00000001011011000110 20 20 25122 9262247968768 00000001001001011011000110
00000001110000110110 20 20 25586 9249396621312 00000001001001110000110110
00011000011100110110 20 20 21934 9203796148224 00010001100001110011011010
00011000011100111010 20 20 21903 9157340037120 00010001100001110011101010
00011000010110110110 20 20 21875 9154521464832 00010001100001011011011010
00011000010111010110 20 20 21667 9140025950208 00010001100001011101011010
00000111000011110110 20 20 21048 8884626391040 0000011100100001100111010
00000111000011101110 20 20 20893 8870650970112 0000011100100001100110110
00000101011010110110 20 20 21266 8807585415168 00000100100101011010110110
00000111001110011010 20 20 21249 8807132430336 00000100100111001110011010
00000111001011010110 20 20 21066 8749351698432 00000100100111001011010110
00000101110011010110 20 20 21059 8749116817408 00000100100101110011010110
00000110010110110110 20 20 20079 8508749643776 00000100100110010110110110
00000101110011101010 20 20 20067 8507273248768 00000100100101110011101010
00000101011011011010 20 20 20058 8506652491776 00000100100101011011011010
00000110011100111010 20 20 20058 8506635714560 00000100100110011100111010
00000110011100110110 20 20 19965 8499287293952 00000100100110011100110110
00000101011101011010 20 20 19940 8498985304064 00000100100101011101011010
00000110010111010110 20 20 19955 8498632982528 00000100100110010111010110
00000101110011011010 20 20 19952 8498364547072 00000100100101110011011010
00000111001011101010 20 20 19385 8279790977024 00000100100111001011101010
00000111001100111010 20 20 19397 8279421878272 00000100100111001100111010
00000101100110110110 20 20 19392 8278885007360 00000100100101100110110110
00000101011101010110 20 20 19362 8277760933888 00000100100101011101010110
00000101011011010110 20 20 19360 8277660270592 00000100100101011011010110
00000111001100110110 20 20 19322 8273986060288 00000100100111001100110110
00000101100111010110 20 20 19294 8271888908288 00000100100101100111010110
00000111001011011010 20 20 19291 8271788244992 00000100100111001011011010
00000101101100111010 20 20 18600 7975267729408 00000100100101101100111010
00000101110100110110 20 20 18600 7975032848384 00000100100101110100110110
