# x |x| K_N count nontrivial_mass_2^-64 min_program kt depth0 open_progs speed_nontrivial_lo_2^-128 speed_nontrivial_hi_2^-128 honest_nontrivial_lo_2^-128 honest_nontrivial_hi_2^-128 kt_program
00011000000010 14 14 1312207 565889992753152 00010001100000001010 14 0 0 8766943871180799848107428959020635 8766943871180799848107428959418860 679740421421535778680254346753240 679740421421535778680254347731498 00010001100000001010
00000000001110 14 14 1118694 518091494653952 00000000000100101110 14 0 0 7917132981414388704248530794529712 7917132981414388704248530794878528 620873211524773596542936846635530 620873211524773596542936847465783 00000000000100101110
00000101101010 14 14 899021 497296403857408 00000100010110101010 14 0 0 7817456287814276297514837090967497 7817456287814276297514837091258766 598365921307156359165331580163106 598365921307156359165331580846692 00000100010110101010
00000110011010 14 14 898522 497158822297600 00000100011001101010 14 0 0 7817500609944504375573347266233643 7817500609944504375573347266524747 598260935864842434755684804720935 598260935864842434755684805404020 00000100011001101010
00000001110110 14 14 882029 496123651293184 0000000100011010110 14 0 0 7767655018037756678054931843328517 7767655018037756678054931843607360 596624336387455345590398827059927 596624336387455345590398827726570 0000000100011010110
00010110100010 14 14 790752 469276968353792 00010001011010001010 14 0 0 7331272675432113773064310284303090 7331272675432113773064310284553560 564148736907472617072834958228400 564148736907472617072834958849216 00010001011010001010
00010110001010 14 14 810510 459702655778816 00010001011000101010 14 0 0 7144790413094694107482347216179322 7144790413094694107482347216438096 551762011200500702085563634450294 551762011200500702085563635085155 00010001011000101010
00011001100010 14 14 809798 458395232501760 00010001100110001010 14 0 0 7143170777169696092036536155798558 7143170777169696092036536156056032 550779200164178826042931744486837 550779200164178826042931745121082 00010001100110001010
00011000011010 14 14 767521 440542865391616 00010001100001101010 14 0 0 6984387395649596684426333017064508 6984387395649596684426333017297037 530785620501524186109669226606489 530785620501524186109669227183335 00010001100001101010
00011000001110 14 14 703851 423565270712320 00010001100000111010 14 0 0 6688483178842683828607576708615348 6688483178842683828607576708830902 510027339526606111689786449246411 510027339526606111689786449785024 00010001100000111010
00000110001110 14 14 663902 392513655406592 00000100100110001110 14 0 0 6281798231881489225686941186669571 6281798231881489225686941186858964 473646442896385576496409587085027 473646442896385576496409587576336 00000100100110001110
00000001101110 14 14 683397 387327549505536 00000001001001101110 14 0 0 6208007447565098499122819889220277 6208007447565098499122819889412731 467468783723481290430826830776157 467468783723481290430826831277298 00000001001001101110
00000001111010 14 14 679993 386924762103808 00000001001001111010 14 0 0 6205604925966508623849198082344207 6205604925966508623849198082533679 467033391918418877423215175725429 467033391918418877423215176223164 00000001001001111010
00000111000110 14 14 612407 364710696321024 00000100100111000110 14 0 0 5873086212279236632467118795940902 5873086212279236632467118796110940 440477362975036684512397329077920 440477362975036684512397329527309 00000100100111000110
000000000000110 15 15 1060838 340693079818240 000000000000010010110 15 0 0 5143074369533143833402698291024072 5143074369533143833402698291396790 382691728804145354583120233647192 382691728804145354583120234506913 000000000000010010110
000001110000010 15 15 770434 293797665701888 000001000110000010110 15 0 0 4551218277921184129002179967119103 4551218277921184129002179967365922 331370788313300346676185168645842 331370788313300346676185169270716 000001000110000010110
000000011100010 15 15 769216 289434801012736 000000010001100010110 15 0 0 4482202160837565387187140940627905 4482202160837565387187140940872802 326401340948204602470436892781425 326401340948204602470436893398856 000000010001100010110
000000011000110 15 15 696433 275705728335872 000000010001100011010 15 0 0 4285376620140992778900752723121799 4285376620140992778900752723350931 310913579579751160583907328992298 310913579579751160583907329551951 000000010001100011010
000001100000110 15 15 649509 264313403080704 000001000110000011010 15 0 0 4138620116828684863142039480730181 4138620116828684863142039480932726 298501363646079080155455715243254 298501363646079080155455715758440 000001000110000011010
000110000000110 15 15 614349 261347895934976 000100011000000011010 15 0 0 4059727886273035873723941937676344 4059727886273035873723941937873836 294799945336846053545856129425531 294799945336846053545856129920380 000100011000000011010
000001110001110 15 15 512504 259131759919104 00000100011000110110 15 0 0 4014413657110236671529134078250338 4014413657110236671529134078424387 292201639695276894286697612788762 292201639695276894286697613225208 00000100011000110110
000000000011110 15 15 596899 257368382242816 000000000001001011110 15 0 0 4033447081904270464813411145902402 4033447081904270464813411146088930 290723956533987212439423301444396 290723956533987212439423301924294 000000000001001011110
000000000111010 15 15 628307 252949078999040 000000000100100111010 15 0 0 3980008930195393809558652499375096 3980008930195393809558652499575181 285744380216237771979963310823917 285744380216237771979963311309490 000000000100100111010
000000000110110 15 15 611016 250375865106432 000000000100100110110 15 0 0 3967527520675560076918188292427191 3967527520675560076918188292613165 283252870612947967044531383172262 283252870612947967044531383640550 000000000100100110110
0001011010011010 16 16 377816 247722414178304 000100011010011010 16 0 0 3744798434191659508828864064323534 3744798434191659508828864064509067 261813223631151367388455877179344 261813223631151367388455877557100 000100011010011010
000110011000110 15 15 439856 240887502209024 000100011001100011010 15 0 0 3770568451054870611153430161830475 3770568451054870611153430161990739 271946515757507657997299193768599 271946515757507657997299194150670 000100011001100011010
000101100011010 15 15 437403 240610728476672 000100010110001101010 15 0 0 3769414306197862168950310136373496 3769414306197862168950310136531677 271693178530418859370002525327422 271693178530418859370002525707040 000100010110001101010
000101101000110 15 15 408215 231529775104000 000100010110100011010 15 0 0 3649086141014089064439122657526606 3649086141014089064439122657672761 261614293877277851294653493885324 261614293877277851294653494235750 000100010110100011010
