# kind bits n floor_beta floor_trans beta_hi_2^-128 trans_hi_2^-128 honest_hi_2^-128
unknown 010001101000010000011100111010011010 36 75870 320000001 65266378768176105174595 15474250442710220803 65262937991163258818522
unknown 010001101000010001011010011101000110 36 10000001 34999991 495175966196555490305 141478898012902949021 495175768126268046826
unknown 010001101000010001101001011000001010 36 10000001 34999993 495175966196555490305 141478889928392874239 495175768126268046826
unknown 010001101000010001110010110101000110 36 10000001 34999998 495175966196555490305 141478869717121729539 495175768126268046826
unknown 010001101000010001110011010011000110 36 10000001 36666661 495175966196555490305 135048025156736281485 495175768126268046826
unknown 010001101000010110000001110011011010 36 151675 320000001 32647174268281002799384 15474250442710220803 32646313313916370094717
unknown 010001101000010110000110011000111010 36 10000001 36666678 495175966196555490305 135047962543580334701 495175768126268046826
unknown 010001101000010110001100101101000110 36 10000001 35000050 495175966196555490305 141478659520244145354 495175768126268046826
unknown 010001101000010110011000110000110110 36 10000001 39990525 495175966196555490305 123823334580916882177 495175768126268046826
unknown 010001101000010110011001011000101010 36 10000001 40000097 495175966196555490305 123793703728806485135 495175768126268046826
unknown 010001101000010110011001100000111010 36 10000001 33333465 495175966196555490305 148552217932984797698 495175768126268046826
unknown 010001101000010110011001100011000110 36 10000001 36000082 495175966196555490305 137548579948832369316 495175768126268046826
unknown 010001101000011000010110011000111010 36 10000001 38333642 495175966196555490305 129175311783355234017 495175768126268046826
unknown 010001101000011000011001011000111010 36 1472056 320000001 3363839525902221858134 15474250442710220803 3363830385406519503008
unknown 010001101000011000011001110011000110 36 10000001 35000245 495175966196555490305 141477871287515875949 495175768126268046826
unknown 010001101000011001011001011000101010 36 10000001 40000077 495175966196555490305 123793765625539198327 495175768126268046826
unknown 010001101000011001100000011001111010 36 8705934 320000001 568779887045034007793 15474250442710220803 568779625715404945406
unknown 010001101000011001100000011100110110 36 151686 320000001 32644806753039312128981 15474250442710220803 32643945923538276086733
unknown 010001101000011001100000011100111010 36 10000001 79193445 495175966196555490305 62527399296008919673 495175768126268046826
unknown 010001101000011001100110000110001110 36 10000001 36000049 495175966196555490305 137548706034859038653 495175768126268046826
unknown 0000010001011010100000011100101101010 37 71532 320000001 34612202630581565590201 7737125221355110402 34610267258034563713351
unknown 0000010001101000011000000110011110110 37 765360 320000001 3234922230807411609960 7737125221355110402 3234905324225807001373
unknown 0001000101100010100000011100101101010 37 71531 320000001 34612686507538837004911 7737125221355110402 34610751080880136294098
unknown 0001000101101010000001011010000110110 37 10000001 39993678 247587983098277745153 61906786331848762442 247587884063134023413
unknown 0001000101101010000001110010110110110 37 71532 320000001 34612202630581565590201 7737125221355110402 34610267258034563713351
unknown 0001000101101010000001110010111010110 37 71532 320000001 34612202630581565590201 7737125221355110402 34610267258034563713351
unknown 0001000101101010000001110011001110110 37 101156 320000001 24475859845889127187693 7737125221355110402 24474892038066039440473
unknown 0001000101101010000001110011100110110 37 9140682 320000001 270863823790255535616 7737125221355110402 270863705259185202271
unknown 0001000101101010000001110011100111010 37 10000001 100351111 247587983098277745153 24672174068613555757 247587884063134023413
unknown 0001000110011000000110011101000011010 37 1918018 320000001 1290853411475158496844 7737125221355110402 1290850719423844225874
unknown 0001000110011000000111001101000011010 37 126411 320000001 19585954375574598332410 7737125221355110402 19585334640436344973289
unknown 0001000110011010000001110011001110110 37 101148 320000001 24477795691172940145117 7737125221355110402 24476827730255067124706
unknown 0001000110100000010111001011010110110 37 92 320000001 26911739984464788584763571 7737125221355110402 25790417485112089060398422
unknown 0001000110100000011001011101100110110 37 2444 320000001 1013044222001129521194047 7737125221355110402 1011388920984787806290135
unknown 0001000110100000011001011101100111010 37 71528 320000001 34614138219588979837243 7737125221355110402 34612202630581565590201
unknown 0001000110100001011000000110011101010 37 1258669 320000001 1967062093823523539389 7737125221355110402 1967055842598324227022
unknown 0001000110100001011000100001100111010 37 1339322 320000001 1848607040406086474947 7737125221355110402 1848601519399131017989
unknown 0001000110100001100001010110001011010 37 7732082 320000001 320208719795103123557 7737125221355110402 320208554143184717527
unknown 0001000110100001100001011000001111010 37 1927692 320000001 1284375345527584567347 7737125221355110402 1284372680428221332513
unknown 0001000110100001100001011000100111010 37 6472976 320000001 382494864583270592970 7737125221355110402 382494628219268489908
unknown 0001000110100001100001011011100111010 37 2157393 320000001 1147625897817764565751 7737125221355110402 1147623770020427649524
unknown 0001000110100001100001011110011101010 37 765360 320000001 3234922230807411609960 7737125221355110402 3234905324225807001373
unknown 0001000110100001100110000001100111010 37 1918053 320000001 1290829856406867041630 7737125221355110402 1290827164453799104927
unknown 0001000110100100011010000001100111010 37 1918021 320000001 1290851392435620126057 7737125221355110402 1290848700392727180198
unknown 0001000110100100011010000001110011010 37 126415 320000001 19585334640436344973289 7737125221355110402 19584714944515939453708
unknown 0100000101110101100000011100101101010 37 71530 320000001 34613170398025451555967 7737125221355110402 34611234917252782590073
unknown 0100000111011000011000000110011110110 37 765360 320000001 3234922230807411609960 7737125221355110402 3234905324225807001373
unknown 0100010101101010100000011001011101010 37 10000001 139194211 247587983098277745153 17787234546491021454 247587884063134023413
unknown 0100010101101010100000011100101101010 37 71533 320000001 34611718767153069908969 7737125221355110402 34609783448715497571862
unknown 0100010110001010000001011010000110110 37 10000001 39993677 247587983098277745153 61906787879763107299 247587884063134023413
unknown 0100010110011010100000011001011101010 37 10000001 144194193 247587983098277745153 17170456223370663407 247587884063134023413
unknown 0100010110011010100000011100101101010 37 71534 320000001 34611234917252782590073 7737125221355110402 34609299652922370625378
unknown 0100010110100010000001110011001110110 37 101145 320000001 24478521712104014531596 7737125221355110402 24477553693766231498070
unknown 0100010110100101101010000001100111010 37 1915147 320000001 1292788531935543616129 7737125221355110402 1292785831806870868041
unknown 0100010110101000000101011011000111010 37 75872 320000001 32632329167159960852466 7737125221355110402 32630608869349472162453
unknown 0100010110101000000101110100110001110 37 10000001 37210797 247587983098277745153 66536604377776712222 247587884063134023413
unknown 0100010110101000000110010101101101010 37 72989 320000001 33921276885157497017335 7737125221355110402 33919418006805591629311
unknown 0100010110101000000110010101110101010 37 10000001 108968106 247587983098277745153 22721144465617862073 247587884063134023413
unknown 0100010110101000000110010110011011010 37 53637 320000001 46159928380982540966092 7737125221355110402 46156486243186378885522
unknown 0100010110101000000110010110011101010 37 50580 320000001 48949784076132078880946 7737125221355110402 48945913304024208243679
unknown 0100010110101000000110011100101101010 37 54 320000001 45849631084643713885152750 7737125221355110402 42687587561564837065487043
unknown 0100010110101000000111001100101101010 37 87600 320000001 28263471216561193490848 7737125221355110402 28262180706026671725016
unknown 0100010110101000011000000101101101110 37 1532730 320000001 1615340000241895539201 7737125221355110402 1615335784663718916524
unknown 0100010110101000011000000110011110110 37 1925897 320000001 1285572426028370442344 7737125221355110402 1285569755958774905771
unknown 0100011000000111001111010000101101010 37 63228 320000001 39157969231523384415105 7737125221355110402 39155492133267341690889
unknown 0100011000011100101100000101000011010 37 10000001 36666675 247587983098277745153 67523986796478288523 247587884063134023413
unknown 0100011000011100111000110000101101010 37 10000001 39998177 247587983098277745153 61899823048704458451 247587884063134023413
unknown 0100011000110000001011101100001101110 37 10000001 39996841 247587983098277745153 61901890666084367758 247587884063134023413
unknown 0100011001011010100000011100101101010 37 71534 320000001 34611234917252782590073 7737125221355110402 34609299652922370625378
unknown 0100011001100000011100111101000011010 37 107275 320000001 23079749042840927986934 7737125221355110402 23078888492349486384085
unknown 0100011001100000011110011101000011010 37 2272466 320000001 1089512484926401781060 7737125221355110402 1089510567167337984572
unknown 0100011001100011000000101110100111010 37 2280508 320000001 1085670420174259660479 7737125221355110402 1085668515916934683878
unknown 0100011001101000000110010111011000110 37 10000001 33334201 247587983098277745153 74274468992694936645 247587884063134023413
unknown 0100011001101000011000000101101101110 37 1532732 320000001 1615337892450056859124 7737125221355110402 1615333676882881689866
unknown 0100011001101000011000000110011110110 37 1925901 320000001 1285569755958774905771 7737125221355110402 1285567085900270548028
unknown 0100011010000001000110011011001110110 37 75870 320000001 32633189384088052587298 7737125221355110402 32631468995581629409261
unknown 0100011010000001000110011101001110110 37 75870 320000001 32633189384088052587298 7737125221355110402 32631468995581629409261
unknown 0100011010000001011010010111000110110 37 10000001 100000387 247587983098277745153 24758704969519373459 247587884063134023413
unknown 0100011010000001011100001110011010110 37 75862 320000001 32636630705369757583484 7737125221355110402 32634909954007863203521
unknown 0100011010000001100101110110000110110 37 75863 320000001 32636200500517519077789 7737125221355110402 32634479794518836250258
unknown 0100011010000001100101110110011000110 37 52 320000001 47613078434053087496120163 7737125221355110402 44212144260192152674968723
unknown 0100011010000001100111000000111110110 37 769012 320000001 3219559744933447787289 7737125221355110402 3219542998547183088256
unknown 0100011010000001110000001100111110110 37 765356 320000001 3234939137565734834245 7737125221355110402 3234922230807411609960
unknown 0100011010000001110011001011101100010 37 89402 320000001 27693788489863320169552 7737125221355110402 27692549477336650222561
unknown 0100011010000100010110110011101000110 37 10000001 34999991 247587983098277745153 70739449006451474511 247587884063134023413
unknown 0100011010000100010111001110101000110 37 10000001 35714296 247587983098277745153 69324622234490091862 247587884063134023413
unknown 0100011010000100011100101101101000110 37 10000001 34999998 247587983098277745153 70739434858560864770 247587884063134023413
unknown 0100011010000100011100101110101000110 37 10000001 35000003 247587983098277745153 70739424752928179744 247587884063134023413
unknown 0100011010000101100000010110110111010 37 1218690 320000001 2031591363325177485496 7737125221355110402 2031584695231748535563
unknown 0100011010000101100000011001111011010 37 2417275 320000001 1024244274470534196481 7737125221355110402 1024242579599111459538
unknown 0100011010000101100000011100111101010 37 89408 320000001 27691930012647196557336 7737125221355110402 27690691166406752447080
unknown 0100011010000101100000011110011101010 37 10000001 63093685 247587983098277745153 39241329438449514398 247587884063134023413
unknown 0100011010000101100001110011100011010 37 10000001 40000008 247587983098277745153 61896989584871096771 247587884063134023413
unknown 0100011010000110000000011001111101110 37 764149 320000001 3240048836772357943017 7737125221355110402 3240031876562364539299
unknown 0100011010000110000001011001111011010 37 764149 320000001 3240048836772357943017 7737125221355110402 3240031876562364539299
unknown 0100011010000110000001011010011110110 37 761753 320000001 3250240010306176083059 7737125221355110402 3250222943236177087705
unknown 0100011010000110000001100001111101110 37 764149 320000001 3240048836772357943017 7737125221355110402 3240031876562364539299
unknown 0100011010000110000001100101111011010 37 50660 320000001 48872484772419276545564 7737125221355110402 48868626215276341185028
unknown 0100011010000110000001100110011110110 37 761753 320000001 3250240010306176083059 7737125221355110402 3250222943236177087705
unknown 0100011010000110000101011000001011010 37 6506823 320000001 380505214076172127289 7737125221355110402 380504980164796228608
unknown 0100011010000110000101100000100111010 37 6506823 320000001 380505214076172127289 7737125221355110402 380504980164796228608
unknown 0100011010000110000101110001100111010 37 8705976 320000001 284388571547952871660 7737125221355110402 284388440884399062461
unknown 0100011010000110000101110011100011010 37 10000001 38339717 247587983098277745153 64577421856576576969 247587884063134023413
unknown 0100011010000110000110010111000111010 37 1472758 320000001 1681118064590897180527 7737125221355110402 1681113498698880436757
unknown 0100011010000110000110011100111000110 37 10000001 36910135 247587983098277745153 67078597208348345240 247587884063134023413
unknown 0100011010000110000111001011000001010 37 10000001 34549202 247587983098277745153 71662438934791042346 247587884063134023413
unknown 0100011010000110000111001011100011010 37 10000001 38745150 247587983098277745153 63901677463392464601 247587884063134023413
unknown 0100011010000110000111001100111000110 37 10000001 40378210 247587983098277745153 61317232204467720333 247587884063134023413
unknown 0100011010000110010001100011001001010 37 10000001 36000019 247587983098277745153 68774410329360119221 247587884063134023413
unknown 0100011010000110011000000101101101110 37 1222289 320000001 2025609392353821845569 7737125221355110402 2025602763470592198269
unknown 0100011010000110011000000110011110110 37 2416654 320000001 1024507471309819506557 7737125221355110402 1024505775567233985860
unknown 0100011010000110011000000111001111010 37 10000001 40624221 247587983098277745153 60945909056834851056 247587884063134023413
unknown 0100011010000110011000000111100111010 37 10000001 40678561 247587983098277745153 60864495146983211865 247587884063134023413
unknown 0101000110100000011100110011101100010 37 101145 320000001 24478521712104014531596 7737125221355110402 24477553693766231498070
unknown 00000001000110001100001011010000110110 38 10000001 39993682 123793991549138872577 30953390070096078549 123793942031567011707
unknown 00000100010101101010100000011100110110 38 151648 320000001 8163246724555419622410 3868562610677555201 8163031409314616852394
unknown 00000100010110011010100000011100110110 38 151664 320000001 8162385531737131256588 3868562610677555201 8162170261923281607849
unknown 00000100010110101000000101110100111010 38 1523487 320000001 812570136328948179341 3868562610677555201 812568002886384149890
unknown 00000100010110101000000111001011010110 38 71532 320000001 17306101315290782795101 3868562610677555201 17305133629017281856676
unknown 00000100010110101000000111001011011010 38 71532 320000001 17306101315290782795101 3868562610677555201 17305133629017281856676
unknown 00000100010110101000000111001011101010 38 71532 320000001 17306101315290782795101 3868562610677555201 17305133629017281856676
unknown 00000100010110110100000011100101101010 38 71530 320000001 17306585199012725777984 3868562610677555201 17305617458626391295037
unknown 00000100011010000001011010010111010110 38 90 320000001 13754889325393114165545825 3868562610677555201 13169574886014683775522599
unknown 00000100011010000001100101110110011010 38 54 320000001 22924815542321856942576375 3868562610677555201 21343793780782418532743522
unknown 00000100011010000001110000111001111010 38 766573 320000001 1614901697927503675318 3868562610677555201 1614893271367886428760
unknown 00010000011100011100001011010000110110 38 10000001 39993681 123793991549138872577 30953390844053096161 123793942031567011707
unknown 00010001011000110100001011010000110110 38 10000001 39993681 123793991549138872577 30953390844053096161 123793942031567011707
unknown 00010001011010100000010101101000111010 38 75872 320000001 16316164583579980426233 3868562610677555201 16315304434674736081227
unknown 00010001011010100000010110110000110110 38 10000001 39995529 123793991549138872577 30951960637534767322 123793942031567011707
unknown 00010001011010100000010111010000110110 38 10000001 39995529 123793991549138872577 30951960637534767322 123793942031567011707
